album_name,track_title,track_n,lyric,line
Red (Taylor’s Version),Red (Taylor’s Version),2,"Oh, red (Red, red)",20
Red (Taylor’s Version),Red (Taylor’s Version),2,"Burning red (Red, red)",21
Red (Taylor’s Version),Red (Taylor’s Version),2,"(Red, red)",22
Red (Taylor’s Version),Red (Taylor’s Version),2,Remembering him comes in flashbacks and echoes,23
Red (Taylor’s Version),Red (Taylor’s Version),2,"Tell myself it's time now, gotta let go",24
Red (Taylor’s Version),Red (Taylor’s Version),2,But moving on from him is impossible when I still see it all in my head,25
Red (Taylor’s Version),Red (Taylor’s Version),2,In burning red,26
Red (Taylor’s Version),Red (Taylor’s Version),2,"Burning, it was red",27
Red (Taylor’s Version),Red (Taylor’s Version),2,"Oh, losing him was blue like I'd never known",28
Red (Taylor’s Version),Red (Taylor’s Version),2,"Missing him was dark gray, all alone (Woah)",29
Red (Taylor’s Version),Red (Taylor’s Version),2,Forgetting him was like tryin' to know somebody you never met,30
Red (Taylor’s Version),Red (Taylor’s Version),2,"Cause loving him was red (Red, red)",31
Red (Taylor’s Version),Red (Taylor’s Version),2,"Yeah, yeah, red (Red, red)",32
Red (Taylor’s Version),Red (Taylor’s Version),2,"Oh, burning red (Red, red)",33
Red (Taylor’s Version),Red (Taylor’s Version),2,"(Red, red)",34
Red (Taylor’s Version),Red (Taylor’s Version),2,"And that's why he's spinning 'round in my head (Red, red)",35
Red (Taylor’s Version),Red (Taylor’s Version),2,"Comes back to me, burning red (Red, red)",36
Red (Taylor’s Version),Red (Taylor’s Version),2,"(Red, red)",37
Red (Taylor’s Version),Red (Taylor’s Version),2,"Yeah, yeah (Red, red)",38
Red (Taylor’s Version),Red (Taylor’s Version),2,His love was like driving a new Maserati down a dead-end street,39
Red (Taylor’s Version),Treacherous (Taylor’s Version),3,Put your lips close to mine,1
Red (Taylor’s Version),Treacherous (Taylor’s Version),3,As long as they don't touch,2
Red (Taylor’s Version),Treacherous (Taylor’s Version),3,"Out of focus, eye to eye",3
Red (Taylor’s Version),Treacherous (Taylor’s Version),3,Til the gravity's too much,4
Red (Taylor’s Version),Treacherous (Taylor’s Version),3,And I'll do anything you say,5
Red (Taylor’s Version),Treacherous (Taylor’s Version),3,If you say it with your hands,6
Red (Taylor’s Version),Treacherous (Taylor’s Version),3,And I'd be smart to walk away,7
Red (Taylor’s Version),Treacherous (Taylor’s Version),3,But you're quicksand,8
Red (Taylor’s Version),Treacherous (Taylor’s Version),3,This slope is treacherous,9
Red (Taylor’s Version),Treacherous (Taylor’s Version),3,This path is reckless,10
Red (Taylor’s Version),Treacherous (Taylor’s Version),3,This slope is treacherous,11
Red (Taylor’s Version),Treacherous (Taylor’s Version),3,And I-I-I like it,12
Red (Taylor’s Version),Treacherous (Taylor’s Version),3,I can't decide if it's a choice,13
Red (Taylor’s Version),Treacherous (Taylor’s Version),3,Getting swept away,14
Red (Taylor’s Version),Treacherous (Taylor’s Version),3,I hear the sound of my own voice,15
Red (Taylor’s Version),Treacherous (Taylor’s Version),3,Asking you to stay,16
Red (Taylor’s Version),Treacherous (Taylor’s Version),3,All we are is skin and bone,17
Red (Taylor’s Version),Treacherous (Taylor’s Version),3,Trained to get along,18
Red (Taylor’s Version),Treacherous (Taylor’s Version),3,Forever going with the flow,19
Red (Taylor’s Version),Treacherous (Taylor’s Version),3,But you're friction,20
Red (Taylor’s Version),Treacherous (Taylor’s Version),3,This slope is treacherous,21
Red (Taylor’s Version),Treacherous (Taylor’s Version),3,This path is reckless,22
Red (Taylor’s Version),Treacherous (Taylor’s Version),3,This slope is treacherous,23
Red (Taylor’s Version),Treacherous (Taylor’s Version),3,I-I-I like it,24
Red (Taylor’s Version),Treacherous (Taylor’s Version),3,Two headlights shine through the sleepless night,25
Red (Taylor’s Version),Treacherous (Taylor’s Version),3,"And I will get you a, get you alone",26
Red (Taylor’s Version),Treacherous (Taylor’s Version),3,Your name has echoed through my mind,27
Red (Taylor’s Version),Treacherous (Taylor’s Version),3,"And I just think you should, think you should know",28
Red (Taylor’s Version),Treacherous (Taylor’s Version),3,That nothing safe is worth the drive,29
Red (Taylor’s Version),Treacherous (Taylor’s Version),3,"And I would follow you, follow you home",30
Red (Taylor’s Version),Treacherous (Taylor’s Version),3,"I'll follow you, follow you home",31
Red (Taylor’s Version),Treacherous (Taylor’s Version),3,This hope is treacherous,32
Red (Taylor’s Version),Treacherous (Taylor’s Version),3,This daydream is dangerous,33
Red (Taylor’s Version),Treacherous (Taylor’s Version),3,This hope is treacherous,34
Red (Taylor’s Version),Treacherous (Taylor’s Version),3,"I-I-I, I-I-I, I-I-I—",35
Red (Taylor’s Version),Treacherous (Taylor’s Version),3,Two headlights shine through the sleepless night,36
Red (Taylor’s Version),Treacherous (Taylor’s Version),3,"And I will get you a, get you alone",37
Red (Taylor’s Version),Treacherous (Taylor’s Version),3,Your name has echoed through my mind,38
Red (Taylor’s Version),Treacherous (Taylor’s Version),3,"And I just think you should, think you should know",39
Red (Taylor’s Version),Treacherous (Taylor’s Version),3,That nothing safe is worth the drive,40
Red (Taylor’s Version),Treacherous (Taylor’s Version),3,"And I will follow you, follow you home",41
Red (Taylor’s Version),Treacherous (Taylor’s Version),3,"I'll follow you, follow you home",42
Red (Taylor’s Version),Treacherous (Taylor’s Version),3,"I'll follow you, follow you home",43
Red (Taylor’s Version),Treacherous (Taylor’s Version),3,"I'll follow you, follow you home",44
Red (Taylor’s Version),Treacherous (Taylor’s Version),3,This slope is treacherous,45
